City,State,Latitude,Longitude,UniqueFastFoodChains
Anchorage,AK,61.215546,-149.812281,1
Anchorage,AK,61.229535,-149.742225,1
Anderson,IN,40.061537,-85.652108,1
Anderson,IN,40.146814,-85.676095,1
Anderson,SC,34.538765,-82.667113,1
Anderson,SC,34.5411,-82.6677,1
Anderson,SC,34.54701,-82.6319,1
Anderson,SC,34.5515,-82.6766,1
Anderson,SC,34.55436,-82.62852,1
Anderson,SC,34.55705,-82.686751,1
Anderson,SC,34.631215,-82.599239,1
Andover,KS,37.678789,-97.134054,1
Andover,KS,37.683294,-97.135292,1
Andover,MN,45.246974,-93.303734,1
Angleton,TX,29.18105,-95.44666,1
Angola,IN,41.67208,-85.00039,1
Ankeny,IA,41.702893,-93.585974,1
Ankeny,IA,41.704627,-93.580975,1
Ankeny,IA,41.704834,-93.5813,1
Ankeny,IA,41.706758,-93.580952,1
Ankeny,IA,41.711791,-93.581423,1
Ankeny,IA,41.73233,-93.58294,1
Ankeny,IA,41.732374,-93.582329,1
Ankeny,IA,41.737306,-93.599406,1
Ann Arbor,MI,42.230907,-83.739813,1
Ann Arbor,MI,42.270767,-83.740456,1
Ann Arbor,MI,42.284725,-83.838496,1
Annandale,VA,38.832909,-77.191419,1
Annapolis,MD,38.97809,-76.4907,1
Annapolis,MD,38.991851,-76.546664,1
Anoka,MN,45.207725,-93.406063,1
Antelope,CA,38.711395,-121.364626,1
Antioch,CA,37.9665,-121.7828,1
Antioch,CA,37.999316,-121.80546,1
Antioch,CA,38.00562,-121.755602,1
Antioch,TN,36.043839,-86.658535,1
Apache Junction,AZ,33.41508,-111.57884,1
Apache Junction,AZ,33.41616,-111.57334,1
Apex,NC,35.749596,-78.8316,1
Apopka,FL,28.67036,-81.45337,1
Apopka,FL,28.68587218,-81.53919026,1
Apopka,FL,28.708264,-81.508696,1
Apple Valley,CA,34.473445,-117.241831,1
Appleton,WI,44.243914,-88.370368,1
Appleton,WI,44.272996,-88.470975,1
Appleton,WI,44.287408,-88.41576,1
Arapahoe,NE,40.306316,-99.896556,1
Arcade,NY,42.531994,-78.449733,1
Arcadia,CA,34.108449,-118.025358,1
Arcadia,CA,34.130647,-118.025445,1
Arcadia,CA,34.151294,-118.026696,1
Arcadia,CA,34.151796,-118.026629,1
Arcadia,FL,27.210078,-81.847515,1
Arcadia,LA,32.559991,-92.914415,1
Arcata,CA,40.90289,-124.08334,1
Ardmore,OK,34.1859,-97.16556,1
Ardmore,OK,34.18785,-97.15889,1
Ardmore,PA,40.008996,-75.293209,1
Arkadelphia,AR,34.12015,-93.094315,1
Arkansas City,KS,37.08012,-97.03938,1
Arlington,MA,42.405651,-71.14212,1
Arlington,MA,42.41491,-71.15151,1
Arlington,MA,42.423958,-71.178426,1
Arlington,TN,35.29258,-89.67519,1
Arlington,TN,35.29337,-89.675865,1
Arlington,TX,32.643775,-97.115846,1
Arlington,TX,32.643919,-97.075422,1
Arlington,TX,32.6592,-97.1333,1
Arlington,TX,32.670056,-97.135188,1
Arlington,TX,32.67553,-97.09341,1
Arlington,TX,32.67874,-97.1491,1
Arlington,TX,32.679467,-97.195027,1
Arlington,TX,32.68012,-97.129091,1
Arlington,TX,32.721092,-97.082344,1
Arlington,TX,32.748458,-97.063449,1
Arlington,TX,32.760693,-97.114956,1
Arlington,VA,38.861199,-77.092349,1
Arlington,VA,38.8629,-77.0853,1
Arlington,VA,38.8648,-77.0598,1
Arlington,VA,38.88365,-77.099486,1
Arlington,VA,38.886749,-77.097547,1
Arlington,VA,38.89367,-77.074348,1
Arlington Heights,IL,42.109559,-87.976758,1
Arnold,MO,38.405791,-90.376785,1
Arnold,MO,38.41102269,-90.38329387,1
Arnold,MO,38.438524,-90.373423,1
Arnold,MO,38.44487699,-90.37398256,1
Arnold,MO,38.446375,-90.373271,1
Arroyo Grande,CA,35.1273,-120.598,1
Artesia,CA,33.858478,-118.072976,1
Artesia,CA,33.878723,-118.082712,1
Arvada,CO,39.79193,-105.0813,1
Arvada,CO,39.809963,-105.052615,1
Arvada,CO,39.812335,-105.140035,1
Arvada,CO,39.812609,-105.138579,1
Arvada,CO,39.84214,-105.055702,1
Arvada,CO,39.85489,-105.08172,1
Ashdown,AR,33.659793,-94.117397,1
Asheboro,NC,35.687322,-79.823323,1
Asheboro,NC,35.6876,-79.82614,1
Asheboro,NC,35.691658,-79.790317,1
Asheboro,NC,35.710402,-79.812749,1
Asheville,NC,35.499326,-82.521556,1
Asheville,NC,35.512114,-82.526845,1
Asheville,NC,35.566366,-82.50927,1
Ashland,KY,38.3887,-82.7156,1
Ashland,KY,38.4791,-82.6411,1
Ashland,KY,38.480759,-82.643564,1
Ashland,KY,38.495209,-82.670441,1
Ashland,MO,38.77437,-92.254355,1
Ashland,OH,40.853995,-82.336519,1
Ashland,OH,40.86153,-82.32442,1
Ashland,OR,42.185087,-122.671877,1
Astoria,NY,40.775826,-73.910275,1
Astoria,OR,46.178289,-123.85458,1
Astoria,OR,46.190432,-123.836124,1
Atascadero,CA,35.474274,-120.654576,1
Atascadero,CA,35.4857,-120.6641,1
Athens,GA,33.916665,-83.444062,1
Athens,GA,33.939,-83.4556,1
